Connecting to E4:E3:EA:21:F7:C4
Connected
model=MetaWear C
Stream started
{'epoch': 1515034428385L, 'value x': -0.52490234375, 'value y': 0.1064453125, 'value z': 0.82958984375}
{'epoch': 1515034428392L, 'value x': -0.52587890625, 'value y': 0.1064453125, 'value z': 0.82861328125}
{'epoch': 1515034428400L, 'value x': -0.525390625, 'value y': 0.1025390625, 'value z': 0.83056640625}
{'epoch': 1515034428415L, 'value x': -0.5244140625, 'value y': 0.1025390625, 'value z': 0.83203125}
{'epoch': 1515034428422L, 'value x': -0.52392578125, 'value y': 0.10546875, 'value z': 0.830078125}
{'epoch': 1515034428430L, 'value x': -0.5234375, 'value y': 0.10693359375, 'value z': 0.830078125}
{'epoch': 1515034428445L, 'value x': -0.52587890625, 'value y': 0.10546875, 'value z': 0.82958984375}
{'epoch': 1515034428452L, 'value x': -0.52587890625, 'value y': 0.10595703125, 'value z': 0.83056640625}
{'epoch': 1515034428460L, 'value x': -0.525390625, 'value y': 0.10595703125, 'value z': 0.83056640625}
{'epoch': 1515034428475L, 'value x': -0.525390625, 'value y': 0.10546875, 'value z': 0.830078125}
{'epoch': 1515034428482L, 'value x': -0.52587890625, 'value y': 0.10400390625, 'value z': 0.82958984375}
{'epoch': 1515034428490L, 'value x': -0.52490234375, 'value y': 0.10400390625, 'value z': 0.828125}
{'epoch': 1515034428505L, 'value x': -0.52587890625, 'value y': 0.10400390625, 'value z': 0.8310546875}
{'epoch': 1515034428512L, 'value x': -0.52685546875, 'value y': 0.10595703125, 'value z': 0.83056640625}
{'epoch': 1515034428520L, 'value x': -0.5263671875, 'value y': 0.10498046875, 'value z': 0.82958984375}
{'epoch': 1515034428535L, 'value x': -0.5234375, 'value y': 0.10400390625, 'value z': 0.830078125}
{'epoch': 1515034428543L, 'value x': -0.52294921875, 'value y': 0.10595703125, 'value z': 0.8291015625}
{'epoch': 1515034428550L, 'value x': -0.52490234375, 'value y': 0.10302734375, 'value z': 0.8330078125}
{'epoch': 1515034428565L, 'value x': -0.52490234375, 'value y': 0.10546875, 'value z': 0.83154296875}
{'epoch': 1515034428572L, 'value x': -0.5263671875, 'value y': 0.10595703125, 'value z': 0.83056640625}
{'epoch': 1515034428580L, 'value x': -0.52490234375, 'value y': 0.103515625, 'value z': 0.8291015625}
{'epoch': 1515034428595L, 'value x': -0.5234375, 'value y': 0.10302734375, 'value z': 0.8291015625}
{'epoch': 1515034428602L, 'value x': -0.52392578125, 'value y': 0.1044921875, 'value z': 0.82958984375}
{'epoch': 1515034428610L, 'value x': -0.525390625, 'value y': 0.10595703125, 'value z': 0.82958984375}
{'epoch': 1515034428625L, 'value x': -0.52294921875, 'value y': 0.10595703125, 'value z': 0.8310546875}
{'epoch': 1515034428632L, 'value x': -0.5234375, 'value y': 0.1044921875, 'value z': 0.82861328125}
{'epoch': 1515034428640L, 'value x': -0.52685546875, 'value y': 0.1025390625, 'value z': 0.828125}
{'epoch': 1515034428655L, 'value x': -0.525390625, 'value y': 0.10400390625, 'value z': 0.83056640625}
{'epoch': 1515034428662L, 'value x': -0.525390625, 'value y': 0.10400390625, 'value z': 0.830078125}
{'epoch': 1515034428670L, 'value x': -0.525390625, 'value y': 0.10693359375, 'value z': 0.8310546875}
{'epoch': 1515034428685L, 'value x': -0.5234375, 'value y': 0.10400390625, 'value z': 0.83056640625}
{'epoch': 1515034428692L, 'value x': -0.5244140625, 'value y': 0.1044921875, 'value z': 0.830078125}
{'epoch': 1515034428700L, 'value x': -0.52685546875, 'value y': 0.10498046875, 'value z': 0.83203125}
